timestamp,elapsed_s,round,scan_index,sensor_row,point_in_row,logical_node,physical_row_pin,physical_column_pin,raw_voltage_v,baseline_v,delta_v,signal_0_to_1,baseline_ready,short_below_0_2v,persistent_short_ignored
2026-08-25T14:42:14.986,-0.231216,60,1,1,1,R1C2,1,3,1.811765,1.811765,0.000000,0.000000,1,0,0
2026-08-25T14:42:14.986,-0.231216,60,2,1,2,R1C3,1,5,1.785882,1.785882,0.000000,0.000000,1,0,0
2026-08-25T14:42:14.986,-0.231216,60,3,1,3,R1C4,1,7,1.811765,1.811765,0.000000,0.000000,1,0,0
2026-08-25T14:42:14.987,-0.231216,60,4,1,4,R1C5,1,2,1.824706,1.785882,0.038823,0.000000,1,0,0
2026-08-25T14:42:14.987,-0.231216,60,5,1,5,R1C6,1,4,1.772941,1.785882,-0.012941,0.000000,1,0,0
2026-08-25T14:42:14.987,-0.231216,60,6,1,6,R1C7,1,6,1.772941,1.798823,-0.025882,0.000000,1,0,0
2026-08-25T14:42:14.987,-0.231216,60,7,1,7,R1C8,1,8,1.811765,1.785882,0.025882,0.000000,1,0,0
2026-08-25T14:42:14.987,-0.231216,60,8,1,8,R1C9,1,10,1.798823,1.837647,-0.038824,0.000000,1,0,0
2026-08-25T14:42:14.987,-0.231216,60,9,2,1,R2C3,3,5,1.785882,1.798823,-0.012941,0.000000,1,0,0
2026-08-25T14:42:14.987,-0.231216,60,10,2,2,R2C4,3,7,1.811765,1.811765,0.000000,0.000000,1,0,0
2026-08-25T14:42:14.987,-0.231216,60,11,2,3,R2C5,3,2,1.798823,1.805294,-0.006471,0.000000,1,0,0
2026-08-25T14:42:14.987,-0.231216,60,12,2,4,R2C6,3,4,1.785882,1.785882,0.000000,0.000000,1,0,0
2026-08-25T14:42:14.987,-0.231216,60,13,2,5,R2C7,3,6,1.785882,1.785882,0.000000,0.000000,1,0,0
2026-08-25T14:42:14.987,-0.231216,60,14,2,6,R2C8,3,8,1.811765,1.785882,0.025882,0.000000,1,0,0
2026-08-25T14:42:14.987,-0.231216,60,15,2,7,R2C9,3,10,1.850588,1.837647,0.012941,0.000000,1,0,0
2026-08-25T14:42:14.987,-0.231216,60,16,2,8,R2C10,3,12,1.824706,1.811765,0.012941,0.000000,1,0,0
2026-08-25T14:42:14.987,-0.231216,60,17,3,1,R3C4,5,7,1.811765,1.811765,0.000000,0.000000,1,0,0
2026-08-25T14:42:14.987,-0.231216,60,18,3,2,R3C5,5,2,1.785882,1.785882,0.000000,0.000000,1,0,0
2026-08-25T14:42:14.987,-0.231216,60,19,3,3,R3C6,5,4,1.772941,1.785882,-0.012941,0.000000,1,0,0
2026-08-25T14:42:14.987,-0.231216,60,20,3,4,R3C7,5,6,1.772941,1.824706,-0.051765,0.000000,1,0,0
2026-08-25T14:42:14.987,-0.231216,60,21,3,5,R3C8,5,8,1.785882,1.785882,0.000000,0.000000,1,0,0
2026-08-25T14:42:14.987,-0.231216,60,22,3,6,R3C9,5,10,1.824706,1.837647,-0.012941,0.000000,1,0,0
2026-08-25T14:42:14.987,-0.231216,60,23,3,7,R3C10,5,12,1.798823,1.785882,0.012941,0.000000,1,0,0
2026-08-25T14:42:14.988,-0.231216,60,24,3,8,R3C11,5,14,1.785882,1.798823,-0.012941,0.000000,1,0,0
2026-08-25T14:42:14.988,-0.231216,60,25,4,1,R4C5,7,2,1.811765,1.798823,0.012941,0.000000,1,0,0
2026-08-25T14:42:14.988,-0.231216,60,26,4,2,R4C6,7,4,1.850588,1.785882,0.064706,0.000000,1,0,0
2026-08-25T14:42:14.988,-0.231216,60,27,4,3,R4C7,7,6,1.798823,1.798823,0.000000,0.000000,1,0,0
2026-08-25T14:42:14.988,-0.231216,60,28,4,4,R4C8,7,8,1.837647,1.798823,0.038824,0.000000,1,0,0
2026-08-25T14:42:14.988,-0.231216,60,29,4,5,R4C9,7,10,1.798823,1.837647,-0.038824,0.000000,1,0,0
2026-08-25T14:42:14.988,-0.231216,60,30,4,6,R4C10,7,12,1.785882,1.798823,-0.012941,0.000000,1,0,0
2026-08-25T14:42:14.988,-0.231216,60,31,4,7,R4C11,7,14,1.785882,1.811765,-0.025882,0.000000,1,0,0
2026-08-25T14:42:14.988,-0.231216,60,32,4,8,R4C12,7,16,1.798823,1.811765,-0.012941,0.000000,1,0,0
2026-08-25T14:42:14.988,-0.231216,60,33,5,1,R5C6,2,4,1.798823,1.798823,0.000000,0.000000,1,0,0
2026-08-25T14:42:14.988,-0.231216,60,34,5,2,R5C7,2,6,1.772941,1.811765,-0.038823,0.000000,1,0,0
2026-08-25T14:42:14.988,-0.231216,60,35,5,3,R5C8,2,8,1.811765,1.798823,0.012941,0.000000,1,0,0
2026-08-25T14:42:14.988,-0.231216,60,36,5,4,R5C9,2,10,1.850588,1.837647,0.012941,0.000000,1,0,0
2026-08-25T14:42:14.988,-0.231216,60,37,5,5,R5C10,2,12,1.798823,1.798823,0.000000,0.000000,1,0,0
2026-08-25T14:42:14.988,-0.231216,60,38,5,6,R5C11,2,14,1.785882,1.785882,0.000000,0.000000,1,0,0
2026-08-25T14:42:14.988,-0.231216,60,39,5,7,R5C12,2,16,1.837647,1.824706,0.012941,0.000000,1,0,0
2026-08-25T14:42:14.988,-0.231216,60,40,5,8,R5C1,2,1,1.824706,1.785882,0.038823,0.000000,1,0,0
2026-08-25T14:42:14.988,-0.231216,60,41,6,1,R6C7,4,6,1.850588,1.798823,0.051765,0.000000,1,0,0
2026-08-25T14:42:14.988,-0.231216,60,42,6,2,R6C8,4,8,1.785882,1.798823,-0.012941,0.000000,1,0,0
2026-08-25T14:42:14.988,-0.231216,60,43,6,3,R6C9,4,10,1.798823,1.837647,-0.038824,0.000000,1,0,0
2026-08-25T14:42:14.989,-0.231216,60,44,6,4,R6C10,4,12,1.785882,1.811765,-0.025882,0.000000,1,0,0
2026-08-25T14:42:14.989,-0.231216,60,45,6,5,R6C11,4,14,1.798823,1.785882,0.012941,0.000000,1,0,0
2026-08-25T14:42:14.989,-0.231216,60,46,6,6,R6C12,4,16,1.824706,1.824706,0.000000,0.000000,1,0,0
2026-08-25T14:42:14.989,-0.231216,60,47,6,7,R6C1,4,1,1.785882,1.798823,-0.012941,0.000000,1,0,0
2026-08-25T14:42:14.989,-0.231216,60,48,6,8,R6C2,4,3,1.423529,1.436471,-0.012941,0.000000,1,0,0
2026-08-25T14:42:14.989,-0.231216,60,49,7,1,R7C8,6,8,1.811765,1.785882,0.025882,0.000000,1,0,0
2026-08-25T14:42:14.989,-0.231216,60,50,7,2,R7C9,6,10,1.824706,1.837647,-0.012941,0.000000,1,0,0
2026-08-25T14:42:14.989,-0.231216,60,51,7,3,R7C10,6,12,1.785882,1.798823,-0.012941,0.000000,1,0,0
2026-08-25T14:42:14.989,-0.231216,60,52,7,4,R7C11,6,14,1.798823,1.785882,0.012941,0.000000,1,0,0
2026-08-25T14:42:14.989,-0.231216,60,53,7,5,R7C12,6,16,1.824706,1.798823,0.025882,0.000000,1,0,0
2026-08-25T14:42:14.989,-0.231216,60,54,7,6,R7C1,6,1,1.772941,1.785882,-0.012941,0.000000,1,0,0
2026-08-25T14:42:14.989,-0.231216,60,55,7,7,R7C2,6,3,1.785882,1.785882,0.000000,0.000000,1,0,0
2026-08-25T14:42:14.989,-0.231216,60,56,7,8,R7C3,6,5,1.785882,1.798823,-0.012941,0.000000,1,0,0
2026-08-25T14:42:14.990,-0.231216,60,57,8,1,R8C9,8,10,1.850588,1.850588,0.000000,0.000000,1,0,0
2026-08-25T14:42:14.990,-0.231216,60,58,8,2,R8C10,8,12,1.798823,1.798823,0.000000,0.000000,1,0,0
2026-08-25T14:42:14.990,-0.231216,60,59,8,3,R8C11,8,14,1.811765,1.824706,-0.012941,0.000000,1,0,0
