id,model,action,image,source,source_frame,action_time_s,source_time_s,local_density_score,hotspot_channel,active_nodes_above_0_1,missing_channels
96_segment_E002,human_arm,grasp,human_arm/96_segment_E002.png,human_arm/action_library/96point_12x8/segments/E002_grasp_tactile_96points_20260817_200426_f0000-f0042.xlsx,11,0.55103,0.331651,0.19395533333333334,R6C1,4,0
96_segment_E003,human_arm,grasp,human_arm/96_segment_E003.png,human_arm/action_library/96point_12x8/segments/E003_grasp_tactile_96points_20260817_200426_f0067-f0134.xlsx,124,2.849306,5.980937,0.07489900000000001,R1C2,2,0
96_segment_E004,human_arm,front_touch,human_arm/96_segment_E004.png,human_arm/action_library/96point_12x8/segments/E004_front_touch_tactile_96points_20260817_200426_f0130-f0181.xlsx,169,1.951397,8.233222,0.28732033333333334,R9C10,2,0
96_segment_E005,human_arm,front_touch,human_arm/96_segment_E005.png,human_arm/action_library/96point_12x8/segments/E005_front_touch_tactile_96points_20260817_200426_f0174-f0259.xlsx,205,1.549971,10.032021,0.1625,R1C2,3,0
96_segment_E006,human_arm,grasp,human_arm/96_segment_E006.png,human_arm/action_library/96point_12x8/segments/E006_grasp_tactile_96points_20260825_144129_f0053-f0174.xlsx,133,4.001922,6.656918,0.7987258333333332,R8C2,17,0
96_segment_E007,human_arm,grasp,human_arm/96_segment_E007.png,human_arm/action_library/96point_12x8/segments/E007_grasp_tactile_96points_20260825_144214_f0056-f0170.xlsx,150,4.700063,7.269378,0.7880003333333333,R8C3,11,0
96_segment_E008,human_arm,back_touch,human_arm/96_segment_E008.png,human_arm/action_library/96point_12x8/segments/E008_back_touch_tactile_96points_20260825_144214_f0354-f0402.xlsx,384,1.497064,18.97048,0.3517266666666667,R9C4,6,0
96_segment_E009,human_arm,grasp,human_arm/96_segment_E009.png,human_arm/action_library/96point_12x8/segments/E009_grasp_tactile_96points_20260827_115909_f0155-f0281.xlsx,232,3.852188,11.429997,0.65,R2C8,19,0
96_segment_E010,human_arm,grasp,human_arm/96_segment_E010.png,human_arm/action_library/96point_12x8/segments/E010_grasp_tactile_96points_20260827_115909_f0327-f0486.xlsx,468,7.047231,23.228029,0.325,R8C3,4,0
96_segment_E011,human_arm,grasp,human_arm/96_segment_E011.png,human_arm/action_library/96point_12x8/segments/E011_grasp_tactile_96points_20260827_115909_f0477-f0582.xlsx,545,3.40147,27.079248,0.3036918333333333,R7C2,2,0
96_segment_E012,human_arm,grasp,human_arm/96_segment_E012.png,human_arm/action_library/96point_12x8/segments/E012_grasp_tactile_96points_20260827_115909_f0759-f0887.xlsx,798,1.947,39.725034,0.6328991666666667,R10C12,13,0
96_segment_E013,human_arm,grasp,human_arm/96_segment_E013.png,human_arm/action_library/96point_12x8/segments/E013_grasp_tactile_96points_20260827_115909_f0990-f1108.xlsx,1025,1.75789,51.082206,0.5648418333333334,R1C7,13,0
96_segment_E014,human_arm,grasp,human_arm/96_segment_E014.png,human_arm/action_library/96point_12x8/segments/E014_grasp_tactile_96points_20260829_151106_f0032-f0127.xlsx,61,1.449147,2.804419,0.41390683333333333,R3C4,6,0
96_segment_E015,human_arm,front_touch,human_arm/96_segment_E015.png,human_arm/action_library/96point_12x8/segments/E015_front_touch_tactile_96points_20260829_151106_f0160-f0253.xlsx,173,0.652136,8.406383,0.325,R1C4,5,0
96_segment_E016,human_arm,grasp,human_arm/96_segment_E016.png,human_arm/action_library/96point_12x8/segments/E016_grasp_tactile_96points_20260829_151106_f0327-f0377.xlsx,364,1.85003,17.954512,0.1625,R1C2,3,0
96_segment_E017,human_arm,grasp,human_arm/96_segment_E017.png,human_arm/action_library/96point_12x8/segments/E017_grasp_tactile_96points_20260829_151106_f0397-f0509.xlsx,433,1.799985,21.404428,0.325,R5C1,4,0
96_segment_E018,human_arm,front_touch,human_arm/96_segment_E018.png,human_arm/action_library/96point_12x8/segments/E018_front_touch_tactile_96points_20260829_151106_f0516-f0543.xlsx,531,0.749977,26.304484,0.325,R3C4,2,0
96_segment_E019,human_arm,grasp,human_arm/96_segment_E019.png,human_arm/action_library/96point_12x8/segments/E019_grasp_tactile_96points_20260829_151106_f0542-f0620.xlsx,589,2.356453,29.210988,0.1625,R1C2,2,0
96_segment_E020,human_arm,grasp,human_arm/96_segment_E020.png,human_arm/action_library/96point_12x8/segments/E020_grasp_tactile_96points_20260829_155316_f0622-f0683.xlsx,630,0.400974,31.261494,0.1625,R1C2,1,0
96_segment_E021,human_arm,grasp,human_arm/96_segment_E021.png,human_arm/action_library/96point_12x8/segments/E021_grasp_tactile_96points_20260829_155316_f0943-f1037.xlsx,1013,3.49974,50.411322,0.3701776666666667,R1C6,11,0
96_segment_E022,human_arm,back_touch,human_arm/96_segment_E022.png,human_arm/action_library/96point_12x8/segments/E022_back_touch_tactile_96points_20260820_164334_f0000-f0005.xlsx,2,2.96008,3.702668,0.5731073333333333,R7C3,19,0
96_segment_E023,human_arm,back_touch,human_arm/96_segment_E023.png,human_arm/action_library/96point_12x8/segments/E023_back_touch_tactile_96points_20260820_164334_f0006-f0018.xlsx,15,11.981803,21.239377,0.6332518333333333,R8C3,14,0
96_segment_E024,human_arm,grasp,human_arm/96_segment_E024.png,human_arm/action_library/96point_12x8/segments/E024_grasp_tactile_96points_20260831_162810_f0028-f0110.xlsx,77,2.447569,3.705813,0.5014143333333333,R3C4,7,0
96_segment_E025,human_arm,front_touch,human_arm/96_segment_E025.png,human_arm/action_library/96point_12x8/segments/E025_front_touch_tactile_96points_20260831_162810_f0159-f0239.xlsx,175,0.800209,8.60596,0.1625,R1C3,2,0
96_segment_E026,human_arm,grasp,human_arm/96_segment_E026.png,human_arm/action_library/96point_12x8/segments/E026_grasp_tactile_96points_20260831_162937_f0021-f0099.xlsx,70,2.451103,3.235016,0.4875,R1C4,9,0
96_segment_E027,human_arm,grasp,human_arm/96_segment_E027.png,human_arm/action_library/96point_12x8/segments/E027_grasp_tactile_96points_20260831_162937_f0095-f0174.xlsx,144,2.44811,6.934039,0.325,R1C4,6,0
96_segment_E028,human_arm,front_touch,human_arm/96_segment_E028.png,human_arm/action_library/96point_12x8/segments/E028_front_touch_tactile_96points_20260831_162937_f0239-f0291.xlsx,272,1.649981,13.333973,0.19813166666666668,R3C4,3,0
96_segment_E029,human_arm,grasp,human_arm/96_segment_E029.png,human_arm/action_library/96point_12x8/segments/E029_grasp_tactile_96points_20260908_165907_f0003-f0016.xlsx,10,3.500049,5.00498,0.417472,R12C1,8,0
132_segment_R001,robot_arm,back_touch,robot_arm/132_segment_R001.png,robot_arm/action_library/robot_arm_132node/segments/R001_back_touch_tactile_132points_20260912_192911_f0006-f0008.xlsx,8,5.280097,23.022233,0.6475491666666667,C9R10,30,0
132_segment_R002,robot_arm,front_touch,robot_arm/132_segment_R002.png,robot_arm/action_library/robot_arm_132node/segments/R002_front_touch_tactile_132points_20260912_192911_f0009-f0013.xlsx,9,0.0,25.659178,0.6102933333333334,C1R3,57,0
132_segment_R003,robot_arm,grasp,robot_arm/132_segment_R003.png,robot_arm/action_library/robot_arm_132node/segments/R003_grasp_tactile_132points_20260912_192911_f0014-f0018.xlsx,15,2.633179,41.501464,0.437745,C2R6,63,0
