timestamp,elapsed_s,round,scan_index,sensor_row,point_in_row,source_label,raw_voltage_v,signal_0_to_1,missing_filled_zero
2026-09-08T16:59:07.234,0.011467,29,1,1,1,R1C2,1.76,0.0,0
2026-09-08T16:59:07.234,0.011467,29,2,1,2,R1C3,1.604706,0.0,0
2026-09-08T16:59:07.234,0.011467,29,3,1,3,R1C4,1.811765,0.0,0
2026-09-08T16:59:07.234,0.011467,29,4,1,4,R1C5,1.527059,0.0,0
2026-09-08T16:59:07.234,0.011467,29,5,1,5,R1C6,1.798823,0.0,0
2026-09-08T16:59:07.234,0.011467,29,6,1,6,R1C7,0,0,1
2026-09-08T16:59:07.234,0.011467,29,7,1,7,R1C8,0,0,1
2026-09-08T16:59:07.234,0.011467,29,8,1,8,R1C9,0,0,1
2026-09-08T16:59:07.234,0.011467,29,9,2,1,R2C3,1.798823,0.0,0
2026-09-08T16:59:07.234,0.011467,29,10,2,2,R2C4,1.798823,0.0,0
2026-09-08T16:59:07.234,0.011467,29,11,2,3,R2C5,1.772941,0.0,0
2026-09-08T16:59:07.234,0.011467,29,12,2,4,R2C6,1.798823,0.0,0
2026-09-08T16:59:07.234,0.011467,29,13,2,5,R2C7,0,0,1
2026-09-08T16:59:07.234,0.011467,29,14,2,6,R2C8,0,0,1
2026-09-08T16:59:07.234,0.011467,29,15,2,7,R2C9,0,0,1
2026-09-08T16:59:07.234,0.011467,29,16,2,8,R2C10,0,0,1
2026-09-08T16:59:07.234,0.011467,29,17,3,1,R3C4,1.811765,0.0,0
2026-09-08T16:59:07.234,0.011467,29,18,3,2,R3C5,1.798823,0.0,0
2026-09-08T16:59:07.234,0.011467,29,19,3,3,R3C6,1.604706,0.0,0
2026-09-08T16:59:07.234,0.011467,29,20,3,4,R3C7,0,0,1
2026-09-08T16:59:07.234,0.011467,29,21,3,5,R3C8,0,0,1
2026-09-08T16:59:07.234,0.011467,29,22,3,6,R3C9,0,0,1
2026-09-08T16:59:07.234,0.011467,29,23,3,7,R3C10,0,0,1
2026-09-08T16:59:07.234,0.011467,29,24,3,8,R3C11,0,0,1
2026-09-08T16:59:07.234,0.011467,29,25,4,1,R4C5,1.630588,0.0,0
2026-09-08T16:59:07.234,0.011467,29,26,4,2,R4C6,1.76,0.0,0
2026-09-08T16:59:07.234,0.011467,29,27,4,3,R4C7,0,0,1
2026-09-08T16:59:07.234,0.011467,29,28,4,4,R4C8,0,0,1
2026-09-08T16:59:07.234,0.011467,29,29,4,5,R4C9,0,0,1
2026-09-08T16:59:07.234,0.011467,29,30,4,6,R4C10,0,0,1
2026-09-08T16:59:07.234,0.011467,29,31,4,7,R4C11,0,0,1
2026-09-08T16:59:07.234,0.011467,29,32,4,8,R4C12,0,0,1
2026-09-08T16:59:07.234,0.011467,29,33,5,1,R5C6,1.772941,0.0,0
2026-09-08T16:59:07.234,0.011467,29,34,5,2,R5C7,0,0,1
2026-09-08T16:59:07.234,0.011467,29,35,5,3,R5C8,0,0,1
2026-09-08T16:59:07.234,0.011467,29,36,5,4,R5C9,0,0,1
2026-09-08T16:59:07.234,0.011467,29,37,5,5,R5C10,0,0,1
2026-09-08T16:59:07.234,0.011467,29,38,5,6,R5C11,0,0,1
2026-09-08T16:59:07.234,0.011467,29,39,5,7,R5C12,0,0,1
2026-09-08T16:59:07.234,0.011467,29,40,5,8,R5C1,1.798823,0.0,0
2026-09-08T16:59:07.234,0.011467,29,41,6,1,R6C7,0,0,1
2026-09-08T16:59:07.234,0.011467,29,42,6,2,R6C8,0,0,1
2026-09-08T16:59:07.234,0.011467,29,43,6,3,R6C9,0,0,1
2026-09-08T16:59:07.234,0.011467,29,44,6,4,R6C10,0,0,1
2026-09-08T16:59:07.234,0.011467,29,45,6,5,R6C11,0,0,1
2026-09-08T16:59:07.234,0.011467,29,46,6,6,R6C12,0,0,1
2026-09-08T16:59:07.234,0.011467,29,47,6,7,R6C1,1.811765,0.0,0
2026-09-08T16:59:07.234,0.011467,29,48,6,8,R6C2,1.798823,0.0,0
2026-09-08T16:59:07.234,0.011467,29,49,7,1,R7C8,0,0,1
2026-09-08T16:59:07.234,0.011467,29,50,7,2,R7C9,0,0,1
2026-09-08T16:59:07.234,0.011467,29,51,7,3,R7C10,0,0,1
2026-09-08T16:59:07.234,0.011467,29,52,7,4,R7C11,0,0,1
2026-09-08T16:59:07.234,0.011467,29,53,7,5,R7C12,0,0,1
2026-09-08T16:59:07.234,0.011467,29,54,7,6,R7C1,1.811765,0.0,0
2026-09-08T16:59:07.234,0.011467,29,55,7,7,R7C2,1.125882,0.0,0
2026-09-08T16:59:07.234,0.011467,29,56,7,8,R7C3,1.785882,0.0,0
2026-09-08T16:59:07.234,0.011467,29,57,8,1,R8C9,0,0,1
2026-09-08T16:59:07.234,0.011467,29,58,8,2,R8C10,0,0,1
2026-09-08T16:59:07.234,0.011467,29,59,8,3,R8C11,0,0,1
2026-09-08T16:59:07.234,0.011467,29,60,8,4,R8C12,0,0,1
2026-09-08T16:59:07.234,0.011467,29,61,8,5,R8C1,1.772941,0.0,0
2026-09-08T16:59:07.234,0.011467,29,62,8,6,R8C2,1.798823,0.0,0
2026-09-08T16:59:07.234,0.011467,29,63,8,7,R8C3,1.798823,0.0,0
2026-09-08T16:59:07.234,0.011467,29,64,8,8,R8C4,1.798823,0.0,0
2026-09-08T16:59:07.234,0.011467,29,65,9,1,R9C10,0,0,1
2026-09-08T16:59:07.234,0.011467,29,66,9,2,R9C11,0,0,1
2026-09-08T16:59:07.234,0.011467,29,67,9,3,R9C12,0,0,1
2026-09-08T16:59:07.234,0.011467,29,68,9,4,R9C1,0,0,1
2026-09-08T16:59:07.234,0.011467,29,69,9,5,R9C2,0,0,1
2026-09-08T16:59:07.234,0.011467,29,70,9,6,R9C3,0,0,1
2026-09-08T16:59:07.234,0.011467,29,71,9,7,R9C4,0,0,1
2026-09-08T16:59:07.234,0.011467,29,72,9,8,R9C5,0,0,1
2026-09-08T16:59:07.234,0.011467,29,73,10,1,R10C11,0,0,1
2026-09-08T16:59:07.234,0.011467,29,74,10,2,R10C12,0,0,1
