frame,elapsed_s,scan_index,raw_voltage_v,signal_0_to_1
0,0.0,1,1.811765,0.0
0,0.0,2,0.0,0.0
0,0.0,3,0.0,0.0
0,0.0,4,1.811765,0.0
0,0.0,5,0.0,0.0
0,0.0,6,0.0,0.0
0,0.0,7,0.0,0.0
0,0.0,8,1.747059,0.0
0,0.0,9,1.811765,0.0
0,0.0,10,0.0,0.0
0,0.0,11,0.0,0.0
0,0.0,12,1.811765,0.0
0,0.0,13,0.0,0.0
0,0.0,14,0.0,0.0
0,0.0,15,0.0,0.0
0,0.0,16,1.785882,0.0
0,0.0,17,1.798823,0.0
0,0.0,18,0.0,0.0
0,0.0,19,0.0,0.0
0,0.0,20,1.798823,0.0
0,0.0,21,0.0,0.0
0,0.0,22,0.0,0.0
0,0.0,23,0.0,0.0
0,0.0,24,1.811765,0.0
0,0.0,25,0.0,0.0
0,0.0,26,0.0,0.0
0,0.0,27,0.0,0.0
0,0.0,28,0.0,0.0
0,0.0,29,0.0,0.0
0,0.0,30,0.0,0.0
0,0.0,31,0.0,0.0
0,0.0,32,0.0,0.0
0,0.0,33,1.824706,0.0
0,0.0,34,0.0,0.0
0,0.0,35,0.0,0.0
0,0.0,36,1.811765,0.0
0,0.0,37,0.0,0.0
0,0.0,38,0.0,0.0
0,0.0,39,0.0,0.0
0,0.0,40,1.824706,0.0
0,0.0,41,1.785882,0.0
0,0.0,42,0.0,0.0
0,0.0,43,0.0,0.0
0,0.0,44,1.837647,0.0
0,0.0,45,0.0,0.0
0,0.0,46,0.0,0.0
0,0.0,47,0.0,0.0
0,0.0,48,1.772941,0.0
0,0.0,49,1.785882,0.0
0,0.0,50,0.0,0.0
0,0.0,51,0.0,0.0
0,0.0,52,1.811765,0.0
0,0.0,53,0.0,0.0
0,0.0,54,0.0,0.0
0,0.0,55,0.0,0.0
0,0.0,56,1.747059,0.0
0,0.0,57,1.811765,0.0
0,0.0,58,0.0,0.0
0,0.0,59,0.0,0.0
0,0.0,60,1.811765,0.0
0,0.0,61,0.0,0.0
0,0.0,62,0.0,0.0
0,0.0,63,0.0,0.0
0,0.0,64,1.811765,0.0
0,0.0,65,1.811765,0.0
0,0.0,66,0.0,0.0
0,0.0,67,0.0,0.0
0,0.0,68,1.811765,0.0
0,0.0,69,0.0,0.0
0,0.0,70,0.0,0.0
0,0.0,71,0.0,0.0
0,0.0,72,1.811765,0.0
0,0.0,73,0.0,0.0
0,0.0,74,0.0,0.0
0,0.0,75,0.0,0.0
0,0.0,76,0.0,0.0
0,0.0,77,0.0,0.0
0,0.0,78,0.0,0.0
0,0.0,79,0.0,0.0
0,0.0,80,0.0,0.0
0,0.0,81,1.785882,0.0
0,0.0,82,0.0,0.0
0,0.0,83,0.0,0.0
0,0.0,84,1.811765,0.0
0,0.0,85,0.0,0.0
0,0.0,86,0.0,0.0
0,0.0,87,0.0,0.0
0,0.0,88,1.824706,0.0
0,0.0,89,1.785882,0.0
0,0.0,90,0.0,0.0
0,0.0,91,0.0,0.0
0,0.0,92,1.824706,0.0
0,0.0,93,0.0,0.0
0,0.0,94,0.0,0.0
0,0.0,95,0.0,0.0
0,0.0,96,1.824706,0.0
1,0.5927720000000001,1,1.785882,0.0
1,0.5927720000000001,2,0.0,0.0
1,0.5927720000000001,3,0.0,0.0
1,0.5927720000000001,4,1.785882,0.0
1,0.5927720000000001,5,0.0,0.0
1,0.5927720000000001,6,0.0,0.0
1,0.5927720000000001,7,0.0,0.0
1,0.5927720000000001,8,1.734118,0.0
1,0.5927720000000001,9,2.251765,0.0
1,0.5927720000000001,10,0.0,0.0
1,0.5927720000000001,11,0.0,0.0
1,0.5927720000000001,12,2.174118,0.0
1,0.5927720000000001,13,0.0,0.0
1,0.5927720000000001,14,0.0,0.0
1,0.5927720000000001,15,0.0,0.0
1,0.5927720000000001,16,2.251765,0.0
1,0.5927720000000001,17,1.785882,0.0
1,0.5927720000000001,18,0.0,0.0
1,0.5927720000000001,19,0.0,0.0
1,0.5927720000000001,20,1.785882,0.0
1,0.5927720000000001,21,0.0,0.0
1,0.5927720000000001,22,0.0,0.0
1,0.5927720000000001,23,0.0,0.0
1,0.5927720000000001,24,1.811765,0.0
1,0.5927720000000001,25,0.0,0.0
1,0.5927720000000001,26,0.0,0.0
1,0.5927720000000001,27,0.0,0.0
1,0.5927720000000001,28,0.0,0.0
1,0.5927720000000001,29,0.0,0.0
1,0.5927720000000001,30,0.0,0.0
1,0.5927720000000001,31,0.0,0.0
1,0.5927720000000001,32,0.0,0.0
1,0.5927720000000001,33,1.785882,0.0
1,0.5927720000000001,34,0.0,0.0
1,0.5927720000000001,35,0.0,0.0
1,0.5927720000000001,36,1.824706,0.0
1,0.5927720000000001,37,0.0,0.0
1,0.5927720000000001,38,0.0,0.0
1,0.5927720000000001,39,0.0,0.0
1,0.5927720000000001,40,1.824706,0.0
1,0.5927720000000001,41,1.785882,0.0
1,0.5927720000000001,42,0.0,0.0
1,0.5927720000000001,43,0.0,0.0
1,0.5927720000000001,44,1.837647,0.0
1,0.5927720000000001,45,0.0,0.0
1,0.5927720000000001,46,0.0,0.0
1,0.5927720000000001,47,0.0,0.0
1,0.5927720000000001,48,1.837647,0.0
1,0.5927720000000001,49,1.747059,0.0
1,0.5927720000000001,50,0.0,0.0
1,0.5927720000000001,51,0.0,0.0
1,0.5927720000000001,52,1.915294,0.0
1,0.5927720000000001,53,0.0,0.0
1,0.5927720000000001,54,0.0,0.0
1,0.5927720000000001,55,0.0,0.0
1,0.5927720000000001,56,1.721177,0.0
1,0.5927720000000001,57,1.798823,0.0
1,0.5927720000000001,58,0.0,0.0
1,0.5927720000000001,59,0.0,0.0
1,0.5927720000000001,60,1.785882,0.0
1,0.5927720000000001,61,0.0,0.0
1,0.5927720000000001,62,0.0,0.0
1,0.5927720000000001,63,0.0,0.0
1,0.5927720000000001,64,1.811765,0.0
1,0.5927720000000001,65,1.798823,0.0
1,0.5927720000000001,66,0.0,0.0
1,0.5927720000000001,67,0.0,0.0
1,0.5927720000000001,68,1.824706,0.0
1,0.5927720000000001,69,0.0,0.0
1,0.5927720000000001,70,0.0,0.0
1,0.5927720000000001,71,0.0,0.0
1,0.5927720000000001,72,1.837647,0.0
1,0.5927720000000001,73,0.0,0.0
1,0.5927720000000001,74,0.0,0.0
1,0.5927720000000001,75,0.0,0.0
1,0.5927720000000001,76,0.0,0.0
1,0.5927720000000001,77,0.0,0.0
1,0.5927720000000001,78,0.0,0.0
1,0.5927720000000001,79,0.0,0.0
1,0.5927720000000001,80,0.0,0.0
1,0.5927720000000001,81,1.850588,0.0
1,0.5927720000000001,82,0.0,0.0
1,0.5927720000000001,83,0.0,0.0
1,0.5927720000000001,84,1.798823,0.0
1,0.5927720000000001,85,0.0,0.0
1,0.5927720000000001,86,0.0,0.0
1,0.5927720000000001,87,0.0,0.0
1,0.5927720000000001,88,1.811765,0.0
1,0.5927720000000001,89,1.811765,0.0
1,0.5927720000000001,90,0.0,0.0
1,0.5927720000000001,91,0.0,0.0
1,0.5927720000000001,92,1.824706,0.0
1,0.5927720000000001,93,0.0,0.0
1,0.5927720000000001,94,0.0,0.0
1,0.5927720000000001,95,0.0,0.0
1,0.5927720000000001,96,1.824706,0.0
2,1.193731,1,1.785882,0.0
2,1.193731,2,0.0,0.0
2,1.193731,3,0.0,0.0
2,1.193731,4,1.785882,0.0
2,1.193731,5,0.0,0.0
2,1.193731,6,0.0,0.0
2,1.193731,7,0.0,0.0
2,1.193731,8,1.798823,0.0
2,1.193731,9,2.238823,0.0
2,1.193731,10,0.0,0.0
2,1.193731,11,0.0,0.0
2,1.193731,12,2.187059,0.0
2,1.193731,13,0.0,0.0
2,1.193731,14,0.0,0.0
2,1.193731,15,0.0,0.0
2,1.193731,16,2.238823,0.0
2,1.193731,17,1.785882,0.0
2,1.193731,18,0.0,0.0
2,1.193731,19,0.0,0.0
2,1.193731,20,1.824706,0.0
2,1.193731,21,0.0,0.0
2,1.193731,22,0.0,0.0
2,1.193731,23,0.0,0.0
2,1.193731,24,1.837647,0.0
2,1.193731,25,0.0,0.0
2,1.193731,26,0.0,0.0
2,1.193731,27,0.0,0.0
2,1.193731,28,0.0,0.0
2,1.193731,29,0.0,0.0
2,1.193731,30,0.0,0.0
2,1.193731,31,0.0,0.0
2,1.193731,32,0.0,0.0
2,1.193731,33,1.811765,0.0
2,1.193731,34,0.0,0.0
2,1.193731,35,0.0,0.0
2,1.193731,36,1.811765,0.0
2,1.193731,37,0.0,0.0
2,1.193731,38,0.0,0.0
2,1.193731,39,0.0,0.0
2,1.193731,40,1.837647,0.0
2,1.193731,41,1.785882,0.0
2,1.193731,42,0.0,0.0
2,1.193731,43,0.0,0.0
2,1.193731,44,1.837647,0.0
2,1.193731,45,0.0,0.0
2,1.193731,46,0.0,0.0
2,1.193731,47,0.0,0.0
2,1.193731,48,1.824706,0.0
2,1.193731,49,1.76,0.0
2,1.193731,50,0.0,0.0
2,1.193731,51,0.0,0.0
2,1.193731,52,1.785882,0.0
2,1.193731,53,0.0,0.0
2,1.193731,54,0.0,0.0
2,1.193731,55,0.0,0.0
2,1.193731,56,1.721177,0.0
2,1.193731,57,1.798823,0.0
2,1.193731,58,0.0,0.0
2,1.193731,59,0.0,0.0
2,1.193731,60,1.811765,0.0
2,1.193731,61,0.0,0.0
2,1.193731,62,0.0,0.0
2,1.193731,63,0.0,0.0
2,1.193731,64,1.798823,0.0
2,1.193731,65,1.811765,0.0
2,1.193731,66,0.0,0.0
2,1.193731,67,0.0,0.0
2,1.193731,68,1.811765,0.0
2,1.193731,69,0.0,0.0
2,1.193731,70,0.0,0.0
2,1.193731,71,0.0,0.0
2,1.193731,72,1.811765,0.0
2,1.193731,73,0.0,0.0
2,1.193731,74,0.0,0.0
2,1.193731,75,0.0,0.0
2,1.193731,76,0.0,0.0
2,1.193731,77,0.0,0.0
2,1.193731,78,0.0,0.0
2,1.193731,79,0.0,0.0
2,1.193731,80,0.0,0.0
2,1.193731,81,1.850588,0.0
2,1.193731,82,0.0,0.0
2,1.193731,83,0.0,0.0
2,1.193731,84,1.850588,0.0
2,1.193731,85,0.0,0.0
2,1.193731,86,0.0,0.0
2,1.193731,87,0.0,0.0
2,1.193731,88,1.785882,0.0
2,1.193731,89,1.785882,0.0
2,1.193731,90,0.0,0.0
2,1.193731,91,0.0,0.0
