timestamp,source_elapsed_s,action_elapsed_s,source_frame,phase,N001,N002,N003,N004,N005,N006,N007,N008,N009,N010,N011,N012,N013,N014,N015,N016,N017,N018,N019,N020,N021,N022,N023,N024,N025,N026,N027,N028,N029,N030,N031,N032,N033,N034,N035,N036,N037,N038,N039,N040,N041,N042,N043,N044,N045,N046,N047,N048,N049,N050,N051,N052,N053,N054,N055,N056,N057,N058,N059,N060,N061,N062,N063,N064,N065,N066,N067,N068,N069,N070,N071,N072,N073,N074,N075,N076,N077,N078,N079,N080,N081,N082,N083,N084,N085,N086,N087,N088,N089,N090,N091,N092,N093,N094,N095,N096
2026-09-14T12:05:10.692,28.963474,0.000000,43,baseline_context,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-09-14T12:05:11.357,29.622493,0.659019,44,baseline_context,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-09-14T12:05:12.032,30.266543,1.303069,45,contact,0.000000,0.000000,0.024865,0.107143,0.107143,0.107143,0.107143,0.050569,0.000000,0.000000,0.000000,0.000000,0.060624,0.107143,0.107143,0.100612,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.083309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.107143,0.107143,0.107143,0.057147,0.000000,0.000000,0.000000,0.000000,0.044533,0.107143,0.107143,0.107143,0.107143,0.054863,0.000000,0.000000,0.060624,0.107143,0.107143,0.107143,0.107143,0.107143,0.107143,0.057147
2026-09-14T12:05:12.699,30.939795,1.976321,46,contact,0.000000,0.000000,0.049730,0.214286,0.214286,0.214286,0.214286,0.030239,0.000000,0.000000,0.000000,0.000000,0.061199,0.214286,0.214286,0.138587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.085674,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.088653,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.155735,0.214286,0.214286,0.057147,0.000000,0.000000,0.000000,0.000000,0.089226,0.214286,0.214286,0.214286,0.214286,0.049353,0.000000,0.000000,0.061199,0.214286,0.214286,0.214286,0.214286,0.214286,0.214286,0.057147
2026-09-14T12:05:13.366,31.606781,2.643307,47,contact,0.000000,0.000000,0.066305,0.276946,0.321429,0.321429,0.320085,0.000000,0.000000,0.000000,0.000000,0.000000,0.061199,0.302540,0.276946,0.175494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.145751,0.276946,0.276946,0.057565,0.000000,0.000000,0.000000,0.000000,0.119447,0.321429,0.276946,0.276946,0.276946,0.048287,0.000000,0.000000,0.061199,0.276946,0.276946,0.276946,0.276946,0.321429,0.320085,0.063302
2026-09-14T12:05:13.904,32.275455,3.311981,48,contact,0.000000,0.000000,0.066305,0.301840,0.428571,0.373517,0.348857,0.000000,0.000000,0.000000,0.000000,0.000000,0.060624,0.329734,0.301840,0.211562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087599,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.083488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.140938,0.301840,0.301840,0.057984,0.000000,0.000000,0.000000,0.000000,0.135174,0.428571,0.301840,0.301840,0.301840,0.050162,0.000000,0.000000,0.060624,0.301840,0.301840,0.301840,0.301840,0.428571,0.348857,0.069457
2026-09-14T12:05:14.576,32.941518,3.978044,49,contact,0.000000,0.000000,0.049730,0.324800,0.535714,0.401929,0.375393,0.072155,0.000000,0.000000,0.000000,0.000000,0.060049,0.354816,0.324800,0.217308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.139697,0.324800,0.324800,0.064559,0.000000,0.000000,0.000000,0.000000,0.135477,0.535714,0.324800,0.324800,0.324800,0.063486,0.000000,0.000000,0.060049,0.324800,0.324800,0.324800,0.324800,0.475260,0.375393,0.076032
2026-09-14T12:05:15.244,33.605817,4.642343,50,contact,0.000000,0.000000,0.024865,0.343385,0.561867,0.424928,0.396874,0.179298,0.000000,0.000000,0.000000,0.000000,0.059762,0.375119,0.343385,0.217447,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.095014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.147367,0.343385,0.343385,0.070296,0.000000,0.000000,0.000000,0.000000,0.135228,0.642857,0.343385,0.343385,0.343385,0.077116,0.000000,0.000000,0.059762,0.343385,0.343385,0.343385,0.343385,0.477467,0.396874,0.070296
2026-09-14T12:05:15.914,34.269382,5.305908,51,contact,0.000000,0.000000,0.000000,0.362891,0.568846,0.449066,0.419418,0.286441,0.000000,0.000000,0.000000,0.000000,0.059762,0.396428,0.362891,0.206882,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.108121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.139541,0.362891,0.362891,0.076032,0.000000,0.000000,0.000000,0.000000,0.134440,0.750000,0.362891,0.362891,0.362891,0.099677,0.000000,0.000000,0.059762,0.362891,0.362891,0.362891,0.362891,0.505913,0.419418,0.064559
2026-09-14T12:05:16.591,34.944421,5.980947,52,contact,0.000000,0.000000,0.000000,0.370477,0.583795,0.458453,0.429999,0.393584,0.000000,0.000000,0.000000,0.000000,0.059762,0.404714,0.370477,0.201049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087974,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.116877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.109539,0.370477,0.370477,0.069457,0.000000,0.000000,0.000000,0.000000,0.134280,0.678857,0.370477,0.370477,0.370477,0.113247,0.000000,0.000000,0.059762,0.370477,0.370477,0.370477,0.370477,0.531094,0.428185,0.057984
2026-09-14T12:05:17.277,35.630407,6.666933,53,peak,0.000000,0.000000,0.000000,0.371429,0.565714,0.459631,0.466614,0.500726,0.000000,0.000000,0.000000,0.000000,0.059762,0.405754,0.371429,0.190478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.089249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.121977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.056656,0.371429,0.371429,0.063302,0.000000,0.000000,0.000000,0.000000,0.134744,0.571714,0.371429,0.371429,0.371429,0.121953,0.000000,0.000000,0.059762,0.371429,0.371429,0.371429,0.371429,0.549075,0.466614,0.057565
